Wells,tube_id,rep
A01,1,1
A02,1,2
A11,1,3
B01,2,1
B02,2,2
B11,2,3
C01,3,1
C02,3,2
C11,3,3
D01,4,1
D02,4,2
D11,4,3
E01,5,1
E02,5,2
E11,5,3
F01,6,1
F02,6,2
F11,6,3
G01,7,1
G02,7,2
G11,7,3
H01,8,1
H02,8,2
H11,8,3
A03,9,1
A04,9,2
A12,9,3
B03,10,1
B04,10,2
B12,10,3
C03,11,1
C04,11,2
C12,11,3
D03,12,1
D04,12,2
D12,12,3
E03,13,1
E04,13,2
E12,13,3
F03,14,1
F04,14,2
F12,14,3
G03,15,1
G04,15,2
G12,15,3
H03,16,1
H04,16,2
H12,16,3
A05,17,1
A06,17,2
B05,18,1
B06,18,2
C05,19,1
C06,19,2
D05,20,1
D06,20,2
E05,21,1
E06,21,2
F05,22,1
F06,22,2
G05,23,1
G06,23,2
H05,24,1
H06,24,2
A07,25,1
A08,25,2
B07,26,1
B08,26,2
C07,27,1
C08,27,2
D07,28,1
D08,28,2
E07,29,1
E08,29,2
F07,30,1
F08,30,2
G07,31,1
G08,31,2
H07,32,1
H08,32,2
A09,33,1
A10,33,2
B09,34,1
B10,34,2
C09,B1,blank
C10,B1,blank
D09,B2,blank
D10,B2,blank
E09,B3,blank
E10,B3,blank
F09,B4,blank
F10,B4,blank
G09,B5,blank
G10,B5,blank
H09,B6,blank
H10,B6,blank
