sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
A01,0.486709600719021,0.0280272099579828,0.267088731534284,10.4653692158816,2.59519440067044,15.1999794656117,15.1162916666667,0.0324152500828359,
A02,0.401823494353562,0.0126557484162454,0.384194370966272,8.91709822121743,1.80415756435119,13.2265342541733,13.2024583333333,0.0132356815156128,
A03,0.577373007132529,0.0126292580104509,0.168873867566263,22.5041088665988,4.10452600244954,11.259174024483,11.2064166666667,0.0129092889492616,
A04,0.55714892639336,0.0102115710978589,0.190688918480066,20.8759523352199,3.63496309111641,11.7211546074862,11.6963333333333,0.0134934148843519,
A05,0.571616589930882,0.00688093292141489,0.341541068891973,12.9050469112478,2.02946949486529,16.5633374374961,16.6370416666667,0.0831184458779994,
A06,0.569434849088452,0.00767804561630175,0.32919655308852,13.039942077756,2.10557241276326,16.4200597287485,16.4875416666667,0.0789990090397971,
A07,0.499609426970125,0.00600752315255679,0.441628853564598,9.98285495035158,1.5695242169193,15.940748671073,15.884,0.0428706481335841,
A08,0.512219573730019,0.00739919334762305,0.415453190899896,10.1643982737427,1.66841222005913,16.2461958617156,16.17475,0.0395977811511701,
A09,0.482196228227593,0.00440484304631929,0.16190806444625,28.9452510758401,4.28111584763003,6.57142079010338,6.47104166666666,0.0127869832507693,
A10,0.430022678022247,0.00203034633322444,0.201587480549167,26.5438055886619,3.43844359119755,6.69467386764364,6.65925,0.0143133276935433,
A11,0.399832485367098,0.0134259020575966,0.368896088829493,9.1074544050988,1.87897676757512,13.0811750006046,13.059125,0.0105570052926208,
A12,0.307516891948547,0.00124334337684466,0.441852807014593,12.4626901581959,1.5687287023098,9.05477722703999,9.09116666666667,0.0194481391170785,
B01,0.464167598488836,0.0305399002638856,0.2007050111556,13.219163181067,3.45356190445376,13.17032937826,13.0654166666667,0.0209519533413089,
B02,0.388606141365276,0.0197729823740755,0.263360005637998,11.1103730869255,2.63193790143182,11.8948997199863,11.8424583333333,0.00857616467515764,
B03,0.382529073025089,0.00673817966196025,0.300714617349682,13.3722899167314,2.30499995866156,10.8966850750693,10.8852916666667,0.0193563188204404,
B04,0.378200327150678,0.00702053640246867,0.29761924739034,13.331956738241,2.3289729634013,10.7871926069084,10.7814166666667,0.0183104881274336,
B05,0.38666161265456,0.0193175237709013,0.345496094526127,8.52480353902794,2.00623738311904,12.8540051311051,12.8499583333333,0.0179086894196095,
B06,0.402134710565499,0.0119731448292481,0.413718244998808,8.42093563817438,1.67540878107017,13.4404171168741,13.4599583333333,0.0176705078831342,
B07,0.382300575568682,0.0032903365835321,0.693430770520101,6.84505729732747,0.999591033492871,13.4031308998004,13.3904166666667,0.0448134297787212,
B08,0.397574449908589,0.00495813955361154,0.663152799246546,6.59245086506634,1.04522997014787,14.0364820371205,14.021625,0.048616372478024,
B09,0.282648537704607,0.00300636392825469,0.235425061642519,19.2535979482568,2.94423701420732,6.39861510446797,6.345875,0.00886407151003067,
B10,0.271974989024693,0.00304531850087911,0.23745018541786,18.8706713199002,2.91912671847427,6.25983939554604,6.21420833333333,0.00847543402317307,
